BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,82,100,10,5
0,82,100,10,5
0,82,100,10,5
0,83,100,10,5
0,82,100,10,5
0,67,100,10,10
0,67,100,10,10
0,67,100,10,10
0,67,100,10,10
0,67,100,10,10
0,51,100,10,25
0,50,100,10,25
0,52,100,10,25
0,46,100,10,25
0,50,100,10,25
44,68,100,10,50
44,68,100,10,50
44,68,100,10,50
44,68,100,10,50
44,68,100,10,50
126,49,100,10,75
122,49,100,10,75
126,51,100,10,75
126,49,100,10,75
126,50,100,10,75
203,42,100,10,100
203,37,100,10,100
203,41,100,10,100
201,42,100,10,100
201,37,100,10,100
431,46,100,10,150
431,47,100,10,150
429,50,100,10,150
432,48,100,10,150
358,45,100,10,150
715,55,100,10,200
715,54,100,10,200
522,56,100,10,200
716,53,100,10,200
522,53,100,10,200
0,166,100,20,5
0,167,100,20,5
0,183,100,20,5
0,163,100,20,5
0,168,100,20,5
0,40,100,20,10
0,37,100,20,10
0,36,100,20,10
0,38,100,20,10
0,39,100,20,10
68,100,100,20,25
69,99,100,20,25
72,99,100,20,25
68,99,100,20,25
72,100,100,20,25
222,27,100,20,50
220,33,100,20,50
224,30,100,20,50
220,35,100,20,50
222,33,100,20,50
552,34,100,20,75
377,34,100,20,75
550,34,100,20,75
478,33,100,20,75
553,30,100,20,75
702,40,100,20,100
705,38,100,20,100
706,37,100,20,100
702,41,100,20,100
702,39,100,20,100
1114,93,100,20,150
1125,93,100,20,150
1113,94,100,20,150
1104,94,100,20,150
1122,93,100,20,150
1985,99,100,20,200
1982,97,100,20,200
1961,99,100,20,200
1956,101,100,20,200
1957,105,100,20,200
22,267,100,50,5
35,282,100,50,5
22,266,100,50,5
24,285,100,50,5
22,280,100,50,5
391,290,100,50,10
297,283,100,50,10
325,283,100,50,10
264,289,100,50,10
221,288,100,50,10
771,198,100,50,25
762,200,100,50,25
1014,200,100,50,25
784,200,100,50,25
795,200,100,50,25
1498,131,100,50,50
1511,129,100,50,50
1474,129,100,50,50
1263,129,100,50,50
1430,126,100,50,50
3505,99,100,50,75
3491,102,100,50,75
3435,103,100,50,75
3825,103,100,50,75
3766,97,100,50,75
5618,118,100,50,100
5599,119,100,50,100
5266,114,100,50,100
5571,119,100,50,100
4946,113,100,50,100
6429,136,100,50,150
6542,134,100,50,150
5739,130,100,50,150
6725,132,100,50,150
6363,130,100,50,150
8722,157,100,50,200
8711,155,100,50,200
8582,157,100,50,200
8558,159,100,50,200
8584,159,100,50,200
19210,781,100,100,5
20438,765,100,100,5
19322,790,100,100,5
19166,753,100,100,5
19685,799,100,100,5
14276,467,100,100,10
14573,463,100,100,10
14284,438,100,100,10
14100,441,100,100,10
14504,461,100,100,10
6868,210,100,100,25
6564,260,100,100,25
6665,226,100,100,25
6731,227,100,100,25
6698,212,100,100,25
12092,141,100,100,50
11670,149,100,100,50
11408,141,100,100,50
12092,139,100,100,50
12183,148,100,100,50
13923,131,100,100,75
13884,151,100,100,75
13187,140,100,100,75
13384,132,100,100,75
13759,154,100,100,75
15195,143,100,100,100
14056,138,100,100,100
14752,140,100,100,100
14112,131,100,100,100
15071,134,100,100,100
15282,1041,100,100,150
16209,4401,100,100,150
14838,1010,100,100,150
15175,1013,100,100,150
16320,1092,100,100,150
13515,2229,100,100,200
12353,2401,100,100,200
12960,2529,100,100,200
14937,2406,100,100,200
13167,2511,100,100,200
101108,2109,100,250,5
101101,2092,100,250,5
100580,2060,100,250,5
101453,2052,100,250,5
100551,2166,100,250,5
70936,818,100,250,10
71383,876,100,250,10
71356,895,100,250,10
69627,866,100,250,10
71386,884,100,250,10
44728,267,100,250,25
46882,239,100,250,25
43371,245,100,250,25
47734,269,100,250,25
42769,262,100,250,25
43199,181,100,250,50
43081,175,100,250,50
41946,191,100,250,50
44261,192,100,250,50
43002,188,100,250,50
44131,1785,100,250,75
41075,2335,100,250,75
40931,1878,100,250,75
43551,1368,100,250,75
42012,1488,100,250,75
20571,3711,100,250,100
19482,3007,100,250,100
20254,3285,100,250,100
18889,2508,100,250,100
20394,3745,100,250,100
2099,3156,100,250,150
1626,5793,100,250,150
2729,2549,100,250,150
4134,2776,100,250,150
1869,2983,100,250,150
1396,3359,100,250,200
2619,3072,100,250,200
1978,3363,100,250,200
2098,2899,100,250,200
2052,3071,100,250,200
284836,2314,100,500,5
286591,2593,100,500,5
283630,2591,100,500,5
281861,2339,100,500,5
283373,2538,100,500,5
185898,520,100,500,10
184192,732,100,500,10
188444,698,100,500,10
186049,592,100,500,10
184837,558,100,500,10
106922,356,100,500,25
104324,263,100,500,25
107532,295,100,500,25
109731,236,100,500,25
106917,293,100,500,25
51845,1701,100,500,50
50154,1643,100,500,50
51615,1855,100,500,50
52735,1040,100,500,50
50449,2055,100,500,50
2211,3836,100,500,75
2115,2784,100,500,75
1730,3884,100,500,75
2562,3182,100,500,75
1463,3149,100,500,75
1492,3624,100,500,100
1458,3103,100,500,100
960,3290,100,500,100
1465,3431,100,500,100
1488,3335,100,500,100
55,3863,100,500,150
93,2766,100,500,150
98,3502,100,500,150
120,4763,100,500,150
117,3235,100,500,150
0,2412,100,500,200
9,1997,100,500,200
0,4432,100,500,200
0,2473,100,500,200
0,3151,100,500,200
331567,2301,100,750,5
330040,2170,100,750,5
326856,2279,100,750,5
335991,2187,100,750,5
330192,2112,100,750,5
215590,608,100,750,10
215104,551,100,750,10
214856,674,100,750,10
217231,806,100,750,10
220538,695,100,750,10
134371,338,100,750,25
132528,333,100,750,25
134124,329,100,750,25
130996,317,100,750,25
132788,213,100,750,25
2267,1011,100,750,50
1396,1417,100,750,50
1265,1111,100,750,50
2185,3958,100,750,50
1115,2568,100,750,50
1530,2667,100,750,75
2090,4220,100,750,75
1174,3336,100,750,75
1148,4874,100,750,75
1009,4121,100,750,75
38,3698,100,750,100
70,5112,100,750,100
67,4011,100,750,100
243,4379,100,750,100
82,4035,100,750,100
0,3390,100,750,150
0,3420,100,750,150
0,3152,100,750,150
0,4002,100,750,150
0,3587,100,750,150
0,2745,100,750,200
0,3421,100,750,200
0,3299,100,750,200
0,2908,100,750,200
0,4416,100,750,200
364344,2186,100,1000,5
370088,2321,100,1000,5
368777,2257,100,1000,5
370196,2167,100,1000,5
374210,1919,100,1000,5
233050,863,100,1000,10
231998,516,100,1000,10
235317,747,100,1000,10
231510,628,100,1000,10
235088,774,100,1000,10
107720,549,100,1000,25
106514,396,100,1000,25
108700,537,100,1000,25
108088,765,100,1000,25
109072,428,100,1000,25
1453,2837,100,1000,50
1393,2434,100,1000,50
1380,1543,100,1000,50
1417,1688,100,1000,50
1845,1055,100,1000,50
66,3462,100,1000,75
74,3257,100,1000,75
74,4787,100,1000,75
88,3533,100,1000,75
61,4073,100,1000,75
0,4417,100,1000,100
18,3552,100,1000,100
6,2055,100,1000,100
0,3917,100,1000,100
0,3334,100,1000,100
0,2431,100,1000,150
0,2029,100,1000,150
0,2872,100,1000,150
7,3958,100,1000,150
0,3800,100,1000,150
0,989,100,1000,200
0,3971,100,1000,200
0,1859,100,1000,200
0,4139,100,1000,200
0,3021,100,1000,200
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,,10000,250,200
0,,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
